country,year,pop,continent,lifeExp,gdpPercap,mortality,fertility
Argentina,1962,21283783.000,Americas,65.142,7133.166,59.590,3.089
Argentina,1967,22934225.000,Americas,65.634,8052.953,58.730,3.048
Argentina,1972,24779799.000,Americas,67.065,9443.039,58.000,3.148
Argentina,1977,26983828.000,Americas,68.481,10079.027,47.200,3.391
Argentina,1982,29341374.000,Americas,69.942,8997.897,32.800,3.213
Argentina,1987,31620918.000,Americas,70.774,9139.671,27.100,3.056
Argentina,1992,33958947.000,Americas,71.868,9308.419,22.800,2.918
Argentina,1997,36203463.000,Americas,73.275,10967.282,19.600,2.657
Argentina,2002,38331121.000,Americas,74.340,8797.641,17.100,2.379
Argentina,2007,40301927.000,Americas,75.320,12779.380,14.100,2.254
Australia,1952,8691212.000,Oceania,69.120,10039.596,24.100,3.181
Australia,1957,9712569.000,Oceania,70.330,10949.650,21.600,3.421
Australia,1962,10794968.000,Oceania,70.930,12217.227,19.500,3.431
Australia,1967,11872264.000,Oceania,71.100,14526.125,18.300,2.847
Australia,1972,13177000.000,Oceania,71.930,16788.629,16.800,2.743
Australia,1977,14074100.000,Oceania,73.490,18334.198,12.700,2.007
Australia,1982,15184200.000,Oceania,74.740,19477.009,10.100,1.929
Australia,1987,16257249.000,Oceania,76.320,21888.889,8.700,1.845
Australia,1992,17481977.000,Oceania,77.560,23424.767,6.700,1.888
Australia,1997,18565243.000,Oceania,78.830,26997.937,5.400,1.778
Australia,2002,19546792.000,Oceania,80.370,30687.755,5.000,1.756
Australia,2007,20434176.000,Oceania,81.235,34435.367,4.500,1.920
Austria,1952,6927772.000,Europe,66.800,6137.076,52.000,2.061
Austria,1957,6965860.000,Europe,67.480,8842.598,43.600,2.572
Austria,1962,7129864.000,Europe,69.540,10750.721,32.900,2.800
Austria,1967,7376998.000,Europe,70.140,12834.602,26.400,2.621
Austria,1972,7544201.000,Europe,70.630,16661.626,24.100,2.085
Austria,1977,7568430.000,Europe,72.170,19749.422,16.600,1.631
Austria,1982,7574613.000,Europe,73.180,21597.084,12.600,1.661
Austria,1987,7578903.000,Europe,74.940,23687.826,9.400,1.432
Austria,1992,7914969.000,Europe,76.040,27042.019,7.100,1.505
Austria,1997,8069876.000,Europe,77.510,29095.921,5.000,1.393
Austria,2002,8148312.000,Europe,78.980,32417.608,4.400,1.393
Austria,2007,8199783.000,Europe,79.829,36126.493,3.800,1.379
Bahrain,1952,120447.000,Asia,50.939,9867.085,,6.973
Bahrain,1957,138655.000,Asia,53.832,11635.799,172.500,6.974
Bahrain,1962,171863.000,Asia,56.923,12753.275,114.100,7.168
Bahrain,1967,202182.000,Asia,59.923,14804.673,74.500,6.998
Bahrain,1972,230800.000,Asia,63.300,18268.658,48.100,6.089
Bahrain,1977,297410.000,Asia,65.593,19340.102,32.600,5.283
Bahrain,1982,377967.000,Asia,69.052,19211.147,24.000,4.690
Bahrain,1987,454612.000,Asia,70.750,18524.024,20.100,4.128
Bahrain,1992,529491.000,Asia,72.601,19035.579,18.700,3.466
Bahrain,1997,598561.000,Asia,73.925,20292.017,13.100,2.926
Bahrain,2002,656397.000,Asia,74.795,23403.559,10.200,2.665
Bahrain,2007,708573.000,Asia,75.635,29796.048,8.500,2.292
Bangladesh,1952,46886859.000,Asia,37.484,684.244,225.400,6.331
Bangladesh,1957,51365468.000,Asia,39.348,661.637,191.800,6.602
Bangladesh,1962,56839289.000,Asia,41.216,686.342,167.600,6.794
Bangladesh,1967,62821884.000,Asia,43.453,721.186,153.000,6.920
Bangladesh,1972,70759295.000,Asia,45.252,630.234,148.200,6.928
Bangladesh,1977,80428306.000,Asia,46.923,659.877,141.400,6.680
Bangladesh,1982,93074406.000,Asia,50.009,676.982,127.800,6.060
Bangladesh,1987,103764241.000,Asia,52.819,751.979,110.800,5.130
Bangladesh,1992,113704579.000,Asia,56.018,837.810,92.100,4.197
Bangladesh,1997,123315288.000,Asia,59.412,972.770,74.000,3.468
Bangladesh,2002,135656790.000,Asia,62.013,1136.390,58.600,2.905
Bangladesh,2007,150448339.000,Asia,64.062,1391.254,45.900,2.443
Belgium,1952,8730405.000,Europe,68.000,8343.105,45.000,2.327
Belgium,1957,8989111.000,Europe,69.240,9714.961,35.000,2.494
Belgium,1962,9218400.000,Europe,70.250,10991.207,27.000,2.633
Belgium,1967,9556500.000,Europe,70.940,13149.041,22.500,2.433
Belgium,1972,9709100.000,Europe,71.440,16672.144,18.700,2.052
Belgium,1977,9821800.000,Europe,72.800,19117.974,14.100,1.731
Belgium,1982,9856303.000,Europe,73.930,20979.846,11.200,1.594
Belgium,1987,9870200.000,Europe,75.350,22525.563,9.200,1.561
Belgium,1992,10045622.000,Europe,76.460,25575.571,7.600,1.599
Belgium,1997,10199787.000,Europe,77.530,27561.197,5.500,1.607
Belgium,2002,10311970.000,Europe,78.320,30485.884,4.400,1.675
Belgium,2007,10392226.000,Europe,79.441,33692.605,3.900,1.801
Benin,1952,1738315.000,Africa,38.223,1062.752,204.700,5.829
Benin,1957,1925173.000,Africa,40.358,959.601,194.600,6.108
Benin,1962,2151895.000,Africa,42.618,949.499,180.600,6.394
Benin,1967,2427334.000,Africa,44.885,1035.831,164.000,6.630
Benin,1972,2761407.000,Africa,47.014,1085.797,152.500,6.823
Benin,1977,3168267.000,Africa,49.190,1029.161,136.700,6.984
Benin,1982,3641603.000,Africa,50.904,1277.898,124.700,7.021
Benin,1987,4243788.000,Africa,52.337,1225.856,114.800,6.904
Benin,1992,4981671.000,Africa,53.919,1191.208,103.200,6.603
Benin,1997,6066080.000,Africa,54.777,1232.975,94.200,6.205
Benin,2002,7026113.000,Africa,54.406,1372.878,85.200,5.818
Benin,2007,8078314.000,Africa,56.728,1441.285,75.200,5.365
Bolivia,1952,2883315.000,Americas,40.414,2677.326,,6.748
Bolivia,1957,3211738.000,Americas,41.890,2127.686,,6.754
Bolivia,1962,3593918.000,Americas,43.428,2180.973,167.700,6.648
Bolivia,1967,4040665.000,Americas,45.032,2586.886,153.600,6.585
Bolivia,1972,4565872.000,Americas,46.714,2980.331,138.000,6.496
Bolivia,1977,5079716.000,Americas,50.023,3548.098,121.300,5.899
Bolivia,1982,5642224.000,Americas,53.859,3156.510,107.200,5.337
Bolivia,1987,6156369.000,Americas,57.251,2753.691,94.000,5.029
Bolivia,1992,6893451.000,Americas,59.957,2961.700,80.200,4.810
Bolivia,1997,7693188.000,Americas,62.050,3326.143,66.800,4.390
Bolivia,2002,8445134.000,Americas,63.883,3413.263,53.700,3.982
Bolivia,2007,9119152.000,Americas,65.554,3822.137,42.200,3.551
Bosnia and Herzegovina,1952,2791000.000,Europe,53.820,973.533,,4.875
Bosnia and Herzegovina,1957,3076000.000,Europe,58.450,1353.989,,4.336
Bosnia and Herzegovina,1962,3349000.000,Europe,61.930,1709.684,,3.849
Bosnia and Herzegovina,1967,3585000.000,Europe,64.790,2172.352,,3.239
Bosnia and Herzegovina,1972,3819000.000,Europe,67.450,2860.170,,2.675
Bosnia and Herzegovina,1977,4086000.000,Europe,69.860,3528.481,,2.267
Bosnia and Herzegovina,1982,4172693.000,Europe,70.690,4126.613,27.200,2.017
Bosnia and Herzegovina,1987,4338977.000,Europe,71.140,4314.115,20.400,1.887
Bosnia and Herzegovina,1992,4256013.000,Europe,72.178,2546.781,14.700,1.594
Bosnia and Herzegovina,1997,3607000.000,Europe,73.244,4766.356,10.100,1.503
Bosnia and Herzegovina,2002,4165416.000,Europe,74.090,6018.975,7.200,1.275
Bosnia and Herzegovina,2007,4552198.000,Europe,74.852,7446.299,7.100,1.207
Botswana,1952,442308.000,Africa,47.622,851.241,,6.492
Botswana,1957,474639.000,Africa,49.618,918.233,126.400,6.568
Botswana,1962,512764.000,Africa,51.520,983.654,109.000,6.649
Botswana,1967,553541.000,Africa,53.298,1214.709,94.100,6.696
Botswana,1972,619351.000,Africa,56.024,2263.611,79.100,6.579
Botswana,1977,781472.000,Africa,59.319,3214.858,63.200,6.399
Botswana,1982,970347.000,Africa,61.484,4551.142,50.000,6.012
Botswana,1987,1151184.000,Africa,63.622,6205.884,42.000,5.214
Botswana,1992,1342614.000,Africa,62.745,7954.112,44.200,4.394
Botswana,1997,1536536.000,Africa,52.556,8647.142,51.300,3.746
Botswana,2002,1630347.000,Africa,46.634,11003.605,50.300,3.227
Botswana,2007,1639131.000,Africa,50.728,12569.852,45.500,2.910
Brazil,1952,56602560.000,Americas,50.917,2108.944,,6.149
Brazil,1957,65551171.000,Americas,53.285,2487.366,140.100,6.176
Brazil,1962,76039390.000,Americas,55.665,3336.586,122.900,6.143
Brazil,1967,88049823.000,Americas,57.632,3429.864,109.800,5.491
Brazil,1972,100840058.000,Americas,59.504,4985.711,97.400,4.782
Brazil,1977,114313951.000,Americas,61.489,6660.119,84.700,4.339
Brazil,1982,128962939.000,Americas,63.336,7030.836,69.700,3.848
Brazil,1987,142938076.000,Americas,65.205,7807.096,56.800,3.170
Brazil,1992,155975974.000,Americas,67.057,6950.283,46.800,2.643
Brazil,1997,168546719.000,Americas,69.388,7957.981,34.800,2.451
Brazil,2002,179914212.000,Americas,71.006,8131.213,24.300,2.264
Brazil,2007,190010647.000,Americas,72.390,9065.801,17.100,1.944
Bulgaria,1952,7274900.000,Europe,59.600,2444.287,98.000,2.552
Bulgaria,1957,7651254.000,Europe,66.610,3008.671,66.000,2.313
Bulgaria,1962,8012946.000,Europe,69.510,4254.338,,2.213
Bulgaria,1967,8310226.000,Europe,70.420,5577.003,38.400,2.140
Bulgaria,1972,8576200.000,Europe,70.900,6597.494,31.600,2.155
Bulgaria,1977,8797022.000,Europe,70.810,7612.240,28.100,2.184
Bulgaria,1982,8892098.000,Europe,71.080,8224.192,22.500,2.055
Bulgaria,1987,8971958.000,Europe,71.340,8239.855,18.200,1.944
Bulgaria,1992,8658506.000,Europe,71.190,6302.623,19.100,1.597
Bulgaria,1997,8066057.000,Europe,70.320,5970.389,19.400,1.231
Bulgaria,2002,7661799.000,Europe,72.140,7696.778,16.300,1.221
Bulgaria,2007,7322858.000,Europe,73.005,10680.793,12.300,1.400
Burkina Faso,1952,4469979.000,Africa,31.975,543.255,177.100,6.089
Burkina Faso,1957,4713416.000,Africa,34.906,617.183,168.000,6.227
Burkina Faso,1962,4919632.000,Africa,37.814,722.512,157.500,6.344
Burkina Faso,1967,5127935.000,Africa,40.697,794.827,150.900,6.530
Burkina Faso,1972,5433886.000,Africa,43.591,854.736,147.100,6.697
Burkina Faso,1977,5889574.000,Africa,46.137,743.387,127.400,6.984
Burkina Faso,1982,6634596.000,Africa,48.122,807.199,113.900,7.165
Burkina Faso,1987,7586551.000,Africa,49.557,912.063,105.300,7.092
Burkina Faso,1992,8878303.000,Africa,50.260,931.753,102.400,6.950
Burkina Faso,1997,10352843.000,Africa,50.324,946.295,99.400,6.754
Burkina Faso,2002,12251209.000,Africa,50.650,1037.645,93.400,6.468
Burkina Faso,2007,14326203.000,Africa,52.295,1217.033,79.200,6.116
Burundi,1952,2445618.000,Africa,39.031,339.296,,6.798
Burundi,1957,2667518.000,Africa,40.533,379.565,,6.845
Burundi,1962,2961915.000,Africa,42.045,355.203,144.600,7.045
Burundi,1967,3330989.000,Africa,43.548,412.978,145.300,7.247
Burundi,1972,3529983.000,Africa,44.057,464.100,146.200,7.348
Burundi,1977,3834415.000,Africa,45.910,556.103,143.000,7.452
Burundi,1982,4580410.000,Africa,47.471,559.603,120.300,7.454
Burundi,1987,5126023.000,Africa,48.211,621.819,103.300,7.565
Burundi,1992,5809236.000,Africa,44.736,631.700,104.800,7.465
Burundi,1997,6121610.000,Africa,45.326,463.115,100.000,7.217
Burundi,2002,7021078.000,Africa,47.360,446.404,88.600,6.939
Burundi,2007,8390505.000,Africa,49.580,430.071,72.700,6.567
Cambodia,1952,4693836.000,Asia,39.417,368.469,,6.946
Cambodia,1957,5322536.000,Asia,41.366,434.038,,6.955
Cambodia,1962,6083619.000,Asia,43.415,496.914,,6.955
Cambodia,1967,6960067.000,Asia,45.415,523.432,,6.749
Cambodia,1972,7450606.000,Asia,40.317,421.624,,6.173
Cambodia,1977,6978607.000,Asia,31.220,524.972,155.400,5.441
Cambodia,1982,7272485.000,Asia,50.957,624.475,98.100,6.008
Cambodia,1987,8371791.000,Asia,53.914,683.896,86.000,6.065
Cambodia,1992,10150094.000,Asia,55.803,682.303,85.700,5.240
Cambodia,1997,11782962.000,Asia,56.534,734.285,88.200,4.236
Cambodia,2002,12926707.000,Asia,56.752,896.226,68.300,3.504
Cambodia,2007,14131858.000,Asia,59.723,1713.779,46.500,3.102
Cameroon,1952,5009067.000,Africa,38.523,1172.668,,5.490
Cameroon,1957,5359923.000,Africa,40.428,1313.048,184.600,5.512
Cameroon,1962,5793633.000,Africa,42.643,1399.607,160.500,5.766
Cameroon,1967,6335506.000,Africa,44.799,1508.453,143.100,6.058
Cameroon,1972,7021028.000,Africa,47.049,1684.147,118.200,6.286
Cameroon,1977,7959865.000,Africa,49.355,1783.433,113.900,6.470
Cameroon,1982,9250831.000,Africa,52.961,2367.983,103.100,6.683
Cameroon,1987,10780667.000,Africa,54.985,2602.664,87.200,6.627
Cameroon,1992,12467171.000,Africa,54.314,1793.163,88.200,6.264
Cameroon,1997,14195809.000,Africa,52.199,1694.337,94.700,5.823
Cameroon,2002,15929988.000,Africa,49.856,1934.011,86.200,5.515
Cameroon,2007,17696293.000,Africa,50.430,2042.095,73.100,5.235
Canada,1952,14785584.000,Americas,68.750,11367.161,37.200,3.617
Canada,1957,17010154.000,Americas,69.960,12489.950,30.500,3.930
Canada,1962,18985849.000,Americas,71.300,13462.486,26.000,3.771
Canada,1967,20819767.000,Americas,72.130,16076.588,21.200,2.596
Canada,1972,22284500.000,Americas,72.880,18970.571,16.700,1.965
Canada,1977,23796400.000,Americas,74.210,22090.883,12.500,1.750
Canada,1982,25201900.000,Americas,75.760,22898.792,9.200,1.636
Canada,1987,26549700.000,Americas,76.860,26626.515,7.500,1.576
Canada,1992,28523502.000,Americas,77.950,26342.884,6.400,1.711
Canada,1997,30305843.000,Americas,78.610,28954.926,5.400,1.567
Canada,2002,31902268.000,Americas,79.770,33328.965,5.300,1.513
Canada,2007,33390141.000,Americas,80.653,36319.235,5.100,1.657
Central African Republic,1952,1291695.000,Africa,35.463,1071.311,,5.491
Central African Republic,1957,1392284.000,Africa,37.464,1190.844,,5.734
Central African Republic,1962,1523478.000,Africa,39.475,1193.069,160.400,5.891
Central African Republic,1967,1733638.000,Africa,41.478,1136.057,145.600,5.950
Central African Republic,1972,1927260.000,Africa,43.457,1070.013,132.100,5.953
Central African Republic,1977,2167533.000,Africa,46.775,1109.374,122.600,5.952
Central African Republic,1982,2476971.000,Africa,48.295,956.753,116.700,5.956
Central African Republic,1987,2840009.000,Africa,50.485,844.876,115.500,5.902
Central African Republic,1992,3265124.000,Africa,49.396,747.906,115.100,5.691
Central African Republic,1997,3696513.000,Africa,46.066,740.506,115.100,5.550
Central African Republic,2002,4048013.000,Africa,43.308,738.691,112.100,5.329
Central African Republic,2007,4369038.000,Africa,44.741,706.017,106.900,4.903
Chad,1952,2682462.000,Africa,38.092,1178.666,,6.090
Chad,1957,2894855.000,Africa,39.881,1308.496,,6.190
Chad,1962,3150417.000,Africa,41.716,1389.818,,6.285
Chad,1967,3495967.000,Africa,43.601,1196.811,,6.393
Chad,1972,3899068.000,Africa,45.569,1104.104,131.800,6.636
Chad,1977,4388260.000,Africa,47.383,1133.985,128.800,6.857
Chad,1982,4875118.000,Africa,49.517,797.908,124.800,7.023
Chad,1987,5498955.000,Africa,51.051,952.386,119.300,7.199
Chad,1992,6429417.000,Africa,51.724,1058.064,113.700,7.376
Chad,1997,7562011.000,Africa,51.573,1004.961,109.100,7.419
Chad,2002,8835739.000,Africa,50.525,1156.182,103.400,7.268
Chad,2007,10238807.000,Africa,50.651,1704.064,98.100,6.902
Chile,1952,6377619.000,Americas,54.745,3939.979,138.200,4.884
Chile,1957,7048426.000,Americas,56.074,4315.623,117.100,5.491
Chile,1962,7961258.000,Americas,57.924,4519.094,116.700,5.463
Chile,1967,8858908.000,Americas,60.523,5106.654,79.000,4.593
Chile,1972,9717524.000,Americas,63.441,5494.024,65.700,3.679
Chile,1977,10599793.000,Americas,67.052,4756.764,41.700,2.887
Chile,1982,11487112.000,Americas,70.565,5095.666,22.900,2.650
Chile,1987,12463354.000,Americas,72.492,5547.064,18.400,2.653
Chile,1992,13572994.000,Americas,74.126,7596.126,13.700,2.559
Chile,1997,14599929.000,Americas,75.816,10118.053,10.200,2.254
Chile,2002,15497046.000,Americas,77.860,10778.784,8.300,2.014
Chile,2007,16284741.000,Americas,78.553,13171.639,7.600,1.903
China,1952,556263528.000,Asia,44.000,400.449,,5.973
China,1957,637408000.000,Asia,50.549,575.987,,6.205
China,1962,665770000.000,Asia,44.501,487.674,110.000,5.969
China,1967,754550000.000,Asia,58.381,612.706,,5.252
China,1972,862030000.000,Asia,63.119,676.900,73.300,4.920
China,1977,943455000.000,Asia,63.967,741.237,55.800,2.866
China,1982,1000281000.000,Asia,65.525,962.421,44.600,2.618
China,1987,1084035000.000,Asia,67.274,1378.904,42.000,2.806
China,1992,1164970000.000,Asia,68.690,1655.784,41.200,2.171
China,1997,1230075000.000,Asia,70.426,2289.234,35.000,1.591
China,2002,1280400000.000,Asia,72.028,3119.281,26.200,1.527
China,2007,1318683096.000,Asia,72.961,4959.115,17.200,1.617
Colombia,1952,12350771.000,Americas,50.643,2144.115,111.000,6.759
Colombia,1957,14485993.000,Americas,55.118,2323.806,100.000,6.779
Colombia,1962,17009885.000,Americas,57.863,2492.351,85.900,6.776
Colombia,1967,19764027.000,Americas,59.963,2678.730,77.100,6.250
Colombia,1972,22542890.000,Americas,61.623,3264.660,65.900,5.153
Colombia,1977,25094412.000,Americas,63.837,3815.808,52.800,4.372
Colombia,1982,27764644.000,Americas,66.653,4397.576,39.700,3.744
Colombia,1987,30964245.000,Americas,67.768,4903.219,31.500,3.275
Colombia,1992,34202721.000,Americas,68.421,5444.649,27.400,3.012
Colombia,1997,37657830.000,Americas,70.313,6117.362,23.400,2.775
Colombia,2002,41008227.000,Americas,71.682,5755.260,20.000,2.570
Colombia,2007,44227550.000,Americas,72.889,7006.580,17.300,2.454
Comoros,1952,153936.000,Africa,40.715,1102.991,,5.934
Comoros,1957,170928.000,Africa,42.460,1211.149,,6.560
Comoros,1962,191689.000,Africa,44.467,1406.648,,6.897
Comoros,1967,217378.000,Africa,46.472,1876.030,,7.044
Comoros,1972,250027.000,Africa,48.944,1937.578,145.100,7.058
Comoros,1977,304739.000,Africa,50.939,1172.603,129.600,7.084
Comoros,1982,348643.000,Africa,52.933,1267.100,111.900,7.033
Comoros,1987,395114.000,Africa,54.926,1315.981,95.800,6.141
Comoros,1992,454429.000,Africa,57.939,1246.907,82.900,5.355
Comoros,1997,527982.000,Africa,60.660,1173.618,74.500,5.270
Comoros,2002,614382.000,Africa,62.974,1075.812,72.500,5.303
Comoros,2007,710960.000,Africa,65.152,986.148,67.900,5.112
Congo Dem. Rep.,1952,14100005.000,Africa,39.143,780.542,,5.981
Congo Dem. Rep.,1957,15577932.000,Africa,40.652,905.860,,5.976
Congo Dem. Rep.,1962,17486434.000,Africa,42.122,896.315,,6.030
Congo Dem. Rep.,1967,19941073.000,Africa,44.056,861.593,,6.135
Congo Dem. Rep.,1972,23007669.000,Africa,45.989,904.896,145.900,6.271
Congo Dem. Rep.,1977,26480870.000,Africa,47.804,795.757,137.100,6.443
Congo Dem. Rep.,1982,30646495.000,Africa,47.784,673.748,129.000,6.689
Congo Dem. Rep.,1987,35481645.000,Africa,47.412,672.775,122.900,6.960
Congo Dem. Rep.,1992,41672143.000,Africa,45.548,457.719,117.700,7.223
Congo Dem. Rep.,1997,47798986.000,Africa,42.587,312.188,112.500,7.227
Congo Dem. Rep.,2002,55379852.000,Africa,44.966,241.166,103.100,6.960
Congo Dem. Rep.,2007,64606759.000,Africa,46.462,277.552,91.500,6.550
Congo Rep.,1952,854885.000,Africa,42.111,2125.621,,5.676
Congo Rep.,1957,940458.000,Africa,45.053,2315.057,,5.771
Congo Rep.,1962,1047924.000,Africa,48.435,2464.783,106.100,5.967
Congo Rep.,1967,1179760.000,Africa,52.040,2677.940,94.900,6.174
Congo Rep.,1972,1340458.000,Africa,54.907,3213.153,84.400,6.297
Congo Rep.,1977,1536769.000,Africa,55.625,3259.179,76.000,6.301
Congo Rep.,1982,1774735.000,Africa,56.695,4879.508,68.000,6.036
Congo Rep.,1987,2064095.000,Africa,57.470,4201.195,60.900,5.591
Congo Rep.,1992,2409073.000,Africa,56.433,4016.240,63.000,5.236
Congo Rep.,1997,2800947.000,Africa,52.962,3484.164,73.500,5.141
Congo Rep.,2002,3328795.000,Africa,52.970,3484.062,73.300,5.128
Congo Rep.,2007,3800610.000,Africa,55.322,3632.558,53.100,5.109
Costa Rica,1952,926317.000,Americas,57.206,2627.009,,6.677
Costa Rica,1957,1112300.000,Americas,60.026,2990.011,96.390,7.138
Costa Rica,1962,1345187.000,Americas,62.842,3460.937,80.640,7.221
Costa Rica,1967,1588717.000,Americas,65.424,4161.728,64.600,5.997
Costa Rica,1972,1834796.000,Americas,67.849,5118.147,52.500,4.488
Costa Rica,1977,2108457.000,Americas,70.750,5926.877,28.100,3.784
Costa Rica,1982,2424367.000,Americas,73.450,5262.735,19.200,3.544
Costa Rica,1987,2799811.000,Americas,74.752,5629.915,16.300,3.380
Costa Rica,1992,3173216.000,Americas,75.713,6160.416,13.700,3.002
Costa Rica,1997,3518107.000,Americas,77.260,6677.045,12.700,2.616
Costa Rica,2002,3834934.000,Americas,78.123,7723.447,10.000,2.275
Costa Rica,2007,4133884.000,Americas,78.782,9645.061,8.900,1.953
Cote d'Ivoire,1952,2977019.000,Africa,40.477,1388.595,,6.736
Cote d'Ivoire,1957,3300000.000,Africa,42.469,1500.896,225.600,7.119
Cote d'Ivoire,1962,3832408.000,Africa,44.930,1728.869,197.700,7.501
Cote d'Ivoire,1967,4744870.000,Africa,47.350,2052.050,174.200,7.806
Cote d'Ivoire,1972,6071696.000,Africa,49.801,2378.201,151.300,7.937
Cote d'Ivoire,1977,7459574.000,Africa,52.374,2517.737,124.700,7.837
Cote d'Ivoire,1982,9025951.000,Africa,53.983,2602.710,109.500,7.383
Cote d'Ivoire,1987,10761098.000,Africa,54.655,2156.956,105.200,6.752
Cote d'Ivoire,1992,12772596.000,Africa,52.044,1648.074,104.700,6.114
Cote d'Ivoire,1997,14625967.000,Africa,47.991,1786.265,103.300,5.633
Cote d'Ivoire,2002,16252726.000,Africa,46.832,1648.801,95.700,5.207
Cote d'Ivoire,2007,18013409.000,Africa,48.328,1544.750,84.100,4.928
Croatia,1952,3882229.000,Europe,61.210,3119.237,,2.797
Croatia,1957,3991242.000,Europe,64.770,4338.232,,2.446
Croatia,1962,4076557.000,Europe,67.130,5477.890,,2.273
Croatia,1967,4174366.000,Europe,68.500,6960.298,,2.104
Croatia,1972,4225310.000,Europe,69.610,9164.090,,1.975
Croatia,1977,4318673.000,Europe,70.640,11305.385,,2.005
Croatia,1982,4413368.000,Europe,70.460,13221.822,18.400,1.978
Croatia,1987,4484310.000,Europe,71.520,13822.584,13.800,1.843
Croatia,1992,4494013.000,Europe,72.527,8447.795,9.900,1.571
Croatia,1997,4444595.000,Europe,73.680,9875.605,8.000,1.508
Croatia,2002,4481020.000,Europe,74.876,11628.389,6.600,1.391
Croatia,2007,4493312.000,Europe,75.748,14619.223,5.300,1.413
Cuba,1952,6007797.000,Americas,59.421,5586.539,38.000,4.218
Cuba,1957,6640752.000,Americas,62.325,6092.174,37.000,3.721
Cuba,1962,7254373.000,Americas,65.246,5180.756,,4.509
Cuba,1967,8139332.000,Americas,68.290,5690.268,39.300,4.433
Cuba,1972,8831348.000,Americas,70.723,5305.445,30.900,3.646
Cuba,1977,9537988.000,Americas,72.649,6380.495,20.800,2.332
Cuba,1982,9789224.000,Americas,73.717,7316.918,16.300,1.826
Cuba,1987,10239839.000,Americas,74.174,7532.925,13.300,1.827
Cuba,1992,10723260.000,Americas,74.414,5592.844,9.300,1.680
Cuba,1997,10983007.000,Americas,76.151,5431.990,7.800,1.610
Cuba,2002,11226999.000,Americas,77.158,6340.647,5.900,1.621
Cuba,2007,11416987.000,Americas,78.273,8948.103,4.800,1.520
